Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2018-07-01,45
2018-07-02,59
2018-07-03,48
2018-07-04,42
2018-07-05,45
2018-07-06,43
2018-07-07,40
2018-07-08,42
2018-07-09,41
2018-07-10,47
2018-07-11,42
2018-07-12,49
2018-07-13,45
2018-07-14,40
2018-07-15,37
2018-07-16,43
2018-07-17,67
2018-07-18,70
2018-07-19,56
2018-07-20,54
2018-07-21,43
2018-07-22,42
2018-07-23,53
2018-07-24,73
2018-07-25,70
2018-07-26,65
2018-07-27,62
2018-07-28,44
2018-07-29,45
2018-07-30,52
2018-07-31,55
2018-08-01,52
2018-08-02,46
2018-08-03,49
2018-08-04,52
2018-08-05,45
2018-08-06,51
2018-08-07,54
2018-08-08,76
2018-08-09,57
2018-08-10,50
2018-08-11,53
2018-08-12,44
2018-08-13,49
2018-08-14,75
2018-08-15,63
2018-08-16,47
2018-08-17,48
2018-08-18,42
2018-08-19,36
2018-08-20,43
2018-08-21,46
2018-08-22,54
2018-08-23,46
2018-08-24,43
2018-08-25,39
2018-08-26,37
2018-08-27,43
2018-08-28,53
2018-08-29,46
2018-08-30,41
2018-08-31,38
2018-09-01,37
2018-09-02,38
2018-09-03,39
2018-09-04,40
2018-09-05,58
2018-09-06,69
2018-09-07,50
2018-09-08,42
2018-09-09,37
2018-09-10,45
2018-09-11,45
2018-09-12,52
2018-09-13,46
2018-09-14,35
2018-09-15,34
2018-09-16,33
2018-09-17,37
2018-09-18,34
2018-09-19,39
2018-09-20,36
2018-09-21,39
2018-09-22,39
2018-09-23,39
2018-09-24,41
2018-09-25,39
2018-09-26,35
2018-09-27,36
2018-09-28,36
2018-09-29,33
2018-09-30,31
2018-10-01,33
2018-10-02,35
2018-10-03,31
2018-10-04,31
2018-10-05,31
2018-10-06,29
2018-10-07,27
2018-10-08,32
2018-10-09,34
2018-10-10,33
2018-10-11,51
2018-10-12,39
2018-10-13,32
2018-10-14,30
2018-10-15,36
2018-10-16,36
2018-10-17,31
2018-10-18,35
2018-10-19,32
2018-10-20,29
2018-10-21,28
2018-10-22,33
2018-10-23,33
2018-10-24,32
2018-10-25,32
2018-10-26,33
2018-10-27,28
2018-10-28,26
2018-10-29,36
2018-10-30,33
2018-10-31,38
2018-11-01,33
2018-11-02,29
2018-11-03,29
2018-11-04,31
2018-11-05,32
2018-11-06,32
2018-11-07,28
2018-11-08,31
2018-11-09,29
2018-11-10,27
2018-11-11,26
2018-11-12,30
2018-11-13,29
2018-11-14,58
2018-11-15,63
2018-11-16,43
2018-11-17,37
2018-11-18,35
2018-11-19,60
2018-11-20,100
2018-11-21,82
2018-11-22,43
2018-11-23,49
2018-11-24,53
2018-11-25,89
2018-11-26,84
2018-11-27,75
2018-11-28,69
2018-11-29,56
2018-11-30,54
2018-12-01,39
2018-12-02,36
2018-12-03,53
2018-12-04,52
2018-12-05,47
2018-12-06,56
2018-12-07,80
2018-12-08,49
2018-12-09,43
2018-12-10,50
2018-12-11,49
2018-12-12,46
2018-12-13,53
2018-12-14,63
2018-12-15,48
2018-12-16,39
2018-12-17,56
2018-12-18,56
2018-12-19,55
2018-12-20,62
2018-12-21,52
2018-12-22,41
2018-12-23,40
2018-12-24,51
2018-12-25,48
2018-12-26,45
2018-12-27,43
2018-12-28,43
2018-12-29,37
2018-12-30,35
2018-12-31,37
