timestamp,bit_trend
2017-01-01,15
2017-01-02,24
2017-01-03,23
2017-01-04,25
2017-01-05,32
2017-01-06,26
2017-01-07,21
2017-01-08,18
2017-01-09,17
2017-01-10,17
2017-01-11,21
2017-01-12,21
2017-01-13,17
2017-01-14,15
2017-01-15,14
2017-01-16,14
2017-01-17,16
2017-01-18,15
2017-01-19,15
2017-01-20,13
2017-01-21,12
2017-01-22,12
2017-01-23,13
2017-01-24,14
2017-01-25,14
2017-01-26,14
2017-01-27,12
2017-01-28,12
2017-01-29,12
2017-01-30,13
2017-01-31,14
2017-02-01,15
2017-02-02,15
2017-02-03,17
2017-02-04,14
2017-02-05,15
2017-02-06,13
2017-02-07,15
2017-02-08,16
2017-02-09,18
2017-02-10,16
2017-02-11,14
2017-02-12,12
2017-02-13,13
2017-02-14,13
2017-02-15,13
2017-02-16,13
2017-02-17,13
2017-02-18,13
2017-02-19,12
2017-02-20,13
2017-02-21,18
2017-02-22,17
2017-02-23,19
2017-02-24,21
2017-02-25,16
2017-02-26,15
2017-02-27,16
2017-02-28,17
2017-03-01,18
2017-03-02,22
2017-03-03,25
2017-03-04,21
2017-03-05,18
2017-03-06,20
2017-03-07,20
2017-03-08,19
2017-03-09,20
2017-03-10,33
2017-03-11,26
2017-03-12,19
2017-03-13,19
2017-03-14,16
2017-03-15,17
2017-03-16,19
2017-03-17,18
2017-03-18,21
2017-03-19,20
2017-03-20,18
2017-03-21,18
2017-03-22,18
2017-03-23,16
2017-03-24,17
2017-03-25,18
2017-03-26,16
2017-03-27,16
2017-03-28,15
2017-03-29,15
2017-03-30,14
2017-03-31,14
2017-04-01,14
2017-04-02,14
2017-04-03,15
2017-04-04,16
2017-04-05,14
2017-04-06,15
2017-04-07,17
2017-04-08,14
2017-04-09,14
2017-04-10,15
2017-04-11,15
2017-04-12,16
2017-04-13,16
2017-04-14,14
2017-04-15,13
2017-04-16,14
2017-04-17,14
2017-04-18,16
2017-04-19,14
2017-04-20,14
2017-04-21,15
2017-04-22,14
2017-04-23,13
2017-04-24,14
2017-04-25,16
2017-04-26,18
2017-04-27,18
2017-04-28,18
2017-04-29,17
2017-04-30,16
2017-05-01,21
2017-05-02,22
2017-05-03,22
2017-05-04,29
2017-05-05,26
2017-05-06,22
2017-05-07,22
2017-05-08,23
2017-05-09,29
2017-05-10,26
2017-05-11,32
2017-05-12,35
2017-05-13,33
2017-05-14,32
2017-05-15,34
2017-05-16,31
2017-05-17,30
2017-05-18,27
2017-05-19,33
2017-05-20,35
2017-05-21,37
2017-05-22,68
2017-05-23,70
2017-05-24,74
2017-05-25,100
2017-05-26,75
2017-05-27,58
2017-05-28,43
2017-05-29,39
2017-05-30,40
2017-05-31,41
2017-06-01,42
2017-06-02,35
2017-06-03,34
2017-06-04,32
2017-06-05,36
2017-06-06,57
2017-06-07,51
2017-06-08,42
2017-06-09,37
2017-06-10,37
2017-06-11,38
2017-06-12,62
2017-06-13,47
2017-06-14,46
2017-06-15,58
2017-06-16,41
2017-06-17,33
2017-06-18,31
2017-06-19,32
2017-06-20,40
2017-06-21,39
2017-06-22,35
2017-06-23,30
2017-06-24,33
2017-06-25,31
2017-06-26,39
2017-06-27,39
2017-06-28,38
2017-06-29,30
2017-06-30,30
2017-07-01,3
2017-07-02,4
2017-07-03,4
2017-07-04,4
2017-07-05,4
2017-07-06,4
2017-07-07,4
2017-07-08,4
2017-07-09,4
2017-07-10,4
2017-07-11,5
2017-07-12,5
2017-07-13,4
2017-07-14,4
2017-07-15,5
2017-07-16,5
2017-07-17,5
2017-07-18,5
2017-07-19,4
2017-07-20,5
2017-07-21,5
2017-07-22,4
2017-07-23,4
2017-07-24,4
2017-07-25,5
