,target
0,0.3681704521739299
1,0.26975129504461753
2,-0.35901732236478656
3,-0.34194659253965676
4,0.02146536256984569
5,0.02537305764050984
6,-0.0227649228420815
7,-0.022818952955882425
8,-0.5661293385043069
9,-1.2157858108575599
10,-1.0917942123007098
11,-1.1443716922979865
12,-1.1373647462125998
13,-0.9598611982137704
14,-1.0044834435433225
15,-1.0107879058144775
16,-0.6763127593987058
17,-0.7939085497994258
18,-0.4435256440823284
19,-0.20603485315600753
20,-0.21321330865318663
21,-0.3516120520412508
22,-0.9582149732517596
23,-0.18334957410881936
24,-0.13434536064437602
25,0.014928852509426592
26,0.020588381955237375
27,0.0758562217634878
28,-0.6092668691425863
29,-0.4626755552404541
30,-0.49690918676581114
31,-0.4939059194489673
32,-0.4594381553394278
33,-0.45675307937396536
34,-0.7162367409994007
35,-0.808768699127248
36,-0.7240860101690866
37,-1.0487059038844586
38,-0.8702709297118588
39,-0.6600569688611598
40,-0.585059942049248
41,-0.6093624112417331
42,-0.7021610455356881
43,-0.8332967624431823
44,-0.4220999270048984
45,-0.5880240857603241
46,-0.007743450286153986
47,0.08335636373473851
48,0.09198237889265388
49,-0.18713188006378972
50,-0.26840051483725097
51,-0.15424211615742345
52,-0.019809090345198014
53,-0.0370935032516727
54,-0.021129760500036187
55,0.9097743814692363
56,0.12037857477868312
57,0.1287886885557862
58,0.20270279462024685
59,0.3338392031207726
60,-0.724223446502425
61,-0.46445718468588626
62,-0.561040613846481
63,-0.6811297381115097
64,-0.8150677224917309
65,-0.4026164661878594
66,-0.43863804582446964
67,-0.46088864509718364
68,-0.4747856362034759
69,0.02167103556844276
70,-0.6867044065675325
71,-0.6340581987747808
72,-0.5725325181227698
73,-0.5140584354782072
74,-0.8294360266074077
75,-0.8112084313649035
76,-0.827823829822254
77,-1.1763296448581775
78,-1.159641851241057
79,-1.1941699891286883
80,-1.234435994986766
81,-0.8787945694323506
82,-0.8688787427457779
83,-0.8829486974836448
84,-0.9993492099850637
85,-1.0273583034460783
86,-0.9955298775463722
87,-0.7424329568166903
88,-0.7225699199342424
89,-0.6491478772967515
90,-0.6181680026902048
91,-0.638090584470694
92,-0.6851341803613801
93,-1.2093814103260307
94,-1.1582371061309455
95,-1.1298234830551488
96,-1.1127541175533453
97,-1.186243192940049
98,-0.9875642470705273
99,-1.0334932312347558
100,-0.3594358611299296
101,-0.30975428089053814
102,0.0221248308636192
103,0.4758746416860946
104,0.3608155444319001
105,0.5052248665209157
106,0.43768637918245185
107,0.20523674001089262
108,0.9178412544581918
109,0.9818786117526629
110,0.9399127089106419
111,0.9408909508685768
112,0.3209398030951684
113,-0.9766431544248809
114,-0.8213743418307792
115,-0.6373770242267374
116,-0.6242635360519152
117,-0.3387278719771842
118,-0.13100076509273917
119,-0.13383384053101963
120,0.4468578142990314
121,0.2760277924404364
122,0.8361810523479265
123,1.9154287273784505
124,1.7075574923585894
125,1.496985004398623
126,1.5184815927356763
127,0.9237406538686932
128,0.19574246887470773
129,-0.1373684807868396
130,-0.3935510719467629
131,-0.4517118844137287
132,-0.5815526671966144
133,-1.0084510142085563
134,-0.7975867020722016
135,-0.6236320093029378
136,-0.10478840735429053
137,-0.02306045218917537
138,0.3001622257670507
139,0.15742429113077627
140,0.18650338128077276
141,-0.7698666471372031
142,-0.6777234406068294
143,-0.3725611484794359
144,-0.3624271642404003
145,-0.3375969956215638
146,-0.02662651395036121
147,-0.22127193180104002
148,0.06222425217733509
149,-0.12212309513319553
150,-0.0213661204965218
151,-0.036994201895527705
152,0.05190093702263542
153,-0.09805132720646946
154,-0.2673908862559927
155,-0.26438849804191406
156,-0.8817378714635948
157,-0.9272052358851801
158,-0.4766730210853704
159,-0.5526960235121242
160,-0.53342332820906
161,-0.9476086424795509
162,-0.9450227597747705
163,-1.1594223115878117
164,-0.4755326370907595
165,-0.34441800989380794
166,-0.2056924430944557
167,0.5709680062927024
168,0.5861641444501399
169,0.1270009564941047
170,-0.23705868781839112
171,-0.09582117677569348
172,-0.9157976682685955
173,-0.6461077201409325
174,-0.42137605392991856
175,-0.4051892065030504
176,-0.3634612882576823
177,-0.34159349562828933
178,-0.4333327226854699
179,0.0754917899827949
180,0.1874266121904542
181,0.20413241695285222
182,0.23395535320193878
183,0.12075351862852528
184,0.1713013743841829
185,0.20641885658947737
186,0.25597502558679525
