,target
0,-0.8604616036928344
1,-0.8291504440920104
2,-0.8338489187358835
3,-0.7968370465868575
4,-0.934219819762338
5,-1.016179096920489
6,-1.012907890058654
7,-0.9907850042015113
8,-0.9869169169320408
9,-0.9510037023286178
10,-0.9417820368370309
11,-0.9164814362402779
12,-0.9046743512550944
13,-0.9070336917729009
14,-0.9313120403896157
15,-0.861814131914602
16,-0.8572401285417122
17,-0.8419645927881286
18,-0.9133324521149798
19,-0.9160124733900499
20,-0.9219777953267526
21,-0.9433462692913613
22,-0.7402317441624274
23,-0.7216018965957788
24,-0.9065023893826055
25,-0.9009092995509624
26,-0.6326440699841119
27,-0.6331166148314659
28,-0.6310651624415652
29,-0.6190040450283488
30,-0.6324613468153729
31,-0.6678893408040241
32,-0.6200531993702681
33,-0.6658776955394606
34,-0.6672153558406128
35,-0.6679612495536335
36,-0.5725779452319655
37,-0.5749821839651076
38,-0.5837799857358072
39,-0.6051941770502538
40,-0.5334599194923272
41,-0.5464219459024189
42,-0.5518501261033069
43,-0.5160930599241128
44,-0.5129846744627496
45,-0.5922308829418574
46,-0.5996486367053595
47,-0.6977595356067506
48,-0.7390049936547854
49,-0.735329211900041
50,-0.7349736651648603
51,-0.7304625810590941
52,-0.9095496721177587
53,-0.8988909523803312
54,-0.8264036239467153
55,-0.8216804353696509
56,-1.1837940530594506
57,-1.1360378144229781
58,-1.1912410505598017
59,-1.1264094277234473
60,-1.12910977551006
61,-1.1418568039266983
62,-1.2307842490826089
63,-1.230527188453768
64,-1.220219732409623
65,-1.2265321430963523
66,-1.4381467208300005
67,-1.4098556387275818
68,-1.3852193721484962
69,-1.3898176045459902
70,-1.4952834316130448
71,-1.3527410462290466
72,-1.2716620407186614
73,-0.9303432346143002
74,-0.8957680701392375
75,-0.9142049850405447
76,-0.8961275319069665
77,-0.899252748238966
78,-0.7177861205558791
79,-0.45002102486861645
80,-0.43523293236174404
81,-0.4359919045103522
82,-0.4430093942865825
83,-0.4399139651643283
84,-0.4678630033021858
85,-0.42935381405957285
86,-0.41027053207660547
87,-0.42249060743683636
88,-0.3837206416705597
89,-0.36433181305888745
90,-0.18034571801739535
91,-0.13047563326278838
92,-0.12745958745557165
93,0.16699382550763683
94,0.36933872856976985
95,0.42288999121607745
96,0.44822290248944835
97,0.43958842509365054
98,0.47577091237250146
99,0.4982453752142415
100,0.49891625499276004
101,0.4559969031952543
102,0.41821285974295475
103,0.21740930333465902
104,0.2001445456712784
105,0.20423296973131588
106,0.22345047433076798
107,0.33982287902666164
108,0.15847181373082428
109,0.0502327351458331
110,0.015634497070834644
111,0.01929354101701204
112,0.009270006897195652
113,0.040432740997248015
114,0.079729614916804
115,0.03068041306070462
116,0.03076591780458772
117,0.06458654265065229
118,0.11750421668533602
119,0.12688883741802146
120,0.044161957262746694
121,-0.02932653717938686
122,0.014414342436495965
123,-0.19498388285507787
124,-0.514205559973769
125,-0.5476046494602828
126,-0.5772411559869318
127,-0.5455793661875555
128,-0.6447649862869893
129,-0.6752279605984209
