,date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change
0,2023-11-17,36613.92,38283.61112,44,63.0,7,0.0123778965726653,938.9000000000016,1062.729999999996,-9206.78454
1,2023-11-18,36568.1,17102.24186,34,69.0,3,-0.0012522203127861,666.9099999999962,-1290.0999999999983,-21181.369260000003
2,2023-11-19,37359.86,21246.34648,34,66.0,3,0.0214205903732043,1115.9800000000032,1196.3499999999983,4144.104620000002
3,2023-11-20,37448.78,36022.70291,46,69.0,7,0.0023772666332884,1073.0,834.8600000000006,14776.35643
4,2023-11-21,35741.65,47646.54804,46,71.0,7,-0.0466574572380058,1914.4400000000023,-826.4499999999971,11623.845130000002
5,2023-11-22,37408.34,45051.30697,49,62.0,7,0.0455769987877179,2229.0899999999965,48.479999999995925,-2595.241070000004
6,2023-11-23,37294.28,23827.92882,39,66.0,7,-0.0030537105294436,783.4400000000023,-154.5,-21223.37815
7,2023-11-24,37713.57,44680.80646,44,66.0,7,0.0111800129543677,1162.489999999998,1971.9199999999985,20852.87764
8,2023-11-25,37780.67,11396.14464,38,73.0,7,0.0017776195288349,296.90000000000146,372.33000000000175,-33284.66182
9,2023-11-26,37447.43,21264.53723,38,73.0,7,-0.0088595133917138,664.6299999999974,153.15000000000146,9868.39259
10,2023-11-27,37242.7,30001.07376,40,66.0,7,-0.0054821303093678,862.2300000000032,-470.8700000000026,8736.536529999998
11,2023-11-28,37818.87,37544.46667,44,68.0,7,0.0153522319467537,1508.5899999999965,38.200000000004366,7543.392910000002
12,2023-11-29,37854.64,32994.19107,44,72.0,7,0.0009453771250752,880.0,407.2099999999991,-4550.275600000001
13,2023-11-30,37723.96,24740.29147,42,74.0,7,-0.0034581251896556,645.8499999999985,481.2600000000021,-8253.8996
14,2023-12-01,38682.52,43415.66324,45,71.0,7,0.0250923820630897,1383.1399999999994,863.6499999999942,18675.37177
15,2023-12-02,39450.35,26696.92161,46,74.0,7,0.0196551008311664,1075.5299999999988,1595.7099999999991,-16718.74163
16,2023-12-03,39972.26,26710.65335,49,73.0,7,0.0131427942891877,975.1399999999994,2248.300000000003,13.731739999999265
17,2023-12-04,41991.1,79272.33059,91,74.0,7,0.0492719775349014,2447.739999999998,3308.5800000000017,52561.67724
18,2023-12-05,44073.32,67490.74644,90,75.0,7,0.0483969196447064,3074.0,4622.970000000001,-11781.584149999995
19,2023-12-06,43762.69,51431.10492,87,72.0,7,-0.0070729828231434,961.9300000000004,3790.43,-16059.641520000005
20,2023-12-07,43273.14,47103.26845,67,72.0,7,-0.0112495086853494,1226.2300000000032,1282.0400000000009,-4327.836469999995
21,2023-12-08,44170.99,42900.37556,63,72.0,7,0.0205361195573296,1618.9000000000017,97.66999999999824,-4202.892890000003
22,2023-12-09,43713.6,24925.97008,57,73.0,7,-0.0104089722604937,773.5099999999948,-49.09000000000378,-17974.40548
23,2023-12-10,43789.51,18956.61758,49,74.0,7,0.0017350244818206,486.0,516.3700000000026,-5969.352500000001
24,2023-12-11,41253.4,76663.89804,69,74.0,7,-0.0596607573549242,3582.5,-2917.5899999999965,57707.28046
25,2023-12-12,41492.39,42722.69773,55,67.0,7,0.0057765033012788,1424.1200000000026,-2221.209999999999,-33941.20031
26,2023-12-13,42869.03,45865.99773,56,65.0,7,0.0326396168808299,2920.199999999997,-920.4800000000032,3143.300000000003
27,2023-12-14,43022.26,42047.05709,58,72.0,7,0.0035680023564587,2020.0,1768.8600000000006,-3818.9406400000007
28,2023-12-15,41940.3,33421.7932,50,70.0,7,-0.0254704776409772,1414.8099999999977,447.9100000000035,-8625.263890000002
29,2023-12-16,42278.03,24118.85747,43,67.0,7,0.0080203872581405,1119.4300000000003,-591.0,-9302.93573
30,2023-12-17,41374.65,27722.11452,42,73.0,7,-0.0215991913352078,1172.0699999999997,-1647.6100000000006,3603.25705
31,2023-12-18,42657.8,46734.0925,48,65.0,7,0.0305417667085518,2214.8799999999974,717.5,19011.97798
32,2023-12-19,42275.99,40927.86444,50,73.0,7,-0.008990828549252,1685.9000000000017,-2.040000000000873,-5806.228060000001
33,2023-12-20,43668.93,48710.2947,58,74.0,7,0.0324175526446297,2077.0,2294.279999999999,7782.430260000001
34,2023-12-21,43861.8,34624.29384,56,70.0,7,0.0044069165684448,955.6299999999974,1204.0,-14086.00086
35,2023-12-22,43969.04,32783.19638,56,74.0,7,0.0024419680670525,985.7200000000012,1693.050000000003,-1841.0974599999968
36,2023-12-23,43702.16,16557.1293,47,70.0,7,-0.0060882210887275,697.5800000000017,33.2300000000032,-16226.06708
37,2023-12-24,42991.5,25144.33496,42,71.0,7,-0.0163951070628506,1446.0,-870.3000000000029,8587.20566
38,2023-12-25,43576.13,27021.23992,43,73.0,7,0.0135071016356846,1081.8899999999994,-392.9100000000035,1876.90496
39,2023-12-26,42508.93,41010.04282,54,71.0,7,-0.0247953518646705,1955.0800000000015,-1193.2300000000032,13988.802900000002
40,2023-12-27,43428.85,36191.21136,54,73.0,7,0.021409795298211,1578.3099999999977,437.34999999999854,-4818.831460000001
41,2023-12-28,42563.76,35150.52485,53,73.0,7,-0.0201207798082353,1545.7799999999988,-1012.3699999999952,-1040.6865099999995
42,2023-12-29,42066.95,42597.18912,50,65.0,7,-0.0117407902387348,1811.0,-441.9800000000032,7446.664270000001
43,2023-12-30,42140.28,22906.57818,41,68.0,7,0.0017416561151908,1092.0199999999968,-1288.5699999999997,-19690.61094
44,2023-12-31,42283.58,23585.91603,37,67.0,3,0.0033947781497301,933.1600000000036,-280.1800000000003,679.3378499999999
45,2024-01-01,44179.55,27174.29903,22,65.0,3,0.0438631813137809,2003.3300000000015,2112.600000000006,3588.382999999998
46,2024-01-02,44946.91,65146.40661,38,71.0,7,0.0172200031711351,1731.2900000000009,2806.6300000000047,37972.10758
47,2024-01-03,42845.23,81194.55173,38,70.0,7,-0.0478876952125601,4750.0,561.6500000000015,16048.145120000008
48,2024-01-04,44151.1,48038.06334,32,68.0,3,0.0300235215075549,2115.810000000005,-28.45000000000437,-33156.488390000006
49,2024-01-05,44145.11,48075.25327,31,72.0,3,-0.0001356796630157,1907.4599999999991,-801.8000000000029,37.18993000000046
50,2024-01-06,43968.32,17835.06144,25,70.0,3,-0.0040127875450878,817.3699999999953,1123.0899999999965,-30240.19183
51,2024-01-07,43929.02,23023.8508,23,71.0,3,-0.0008942250725407,908.5,-222.08000000000172,5188.789359999999
52,2024-01-08,46951.04,72814.57589,42,71.0,7,0.066530207112407,4073.989999999998,2805.9300000000003,49790.72508999999
53,2024-01-09,46110.0,69927.66617,48,76.0,7,-0.0180755104150301,3223.3300000000017,2141.6800000000003,-2886.909719999996
54,2024-01-10,46653.99,89911.41203,77,73.0,7,0.0117286079638338,3395.57,2724.970000000001,19983.74586000001
55,2024-01-11,46339.16,87470.3296,80,76.0,7,-0.0067710622307292,3363.420000000005,-611.8799999999974,-2441.082430000009
56,2024-01-12,42782.73,86327.93707,48,71.0,7,-0.0798528754667809,5015.529999999999,-3327.269999999997,-1142.3925299999974
57,2024-01-13,42847.99,36118.47464,34,64.0,3,0.0015242196406752,820.8799999999974,-3806.0,-50209.46243
58,2024-01-14,41732.35,28228.40894,25,60.0,3,-0.0263821287056394,1359.0,-4606.810000000005,-7890.065699999999
59,2024-01-15,42511.1,40269.89303,28,52.0,3,0.0184886108803488,1682.3799999999974,-271.63000000000466,12041.484089999998
60,2024-01-16,43137.95,45045.74589,27,64.0,3,0.0146379018282994,1528.010000000002,289.9599999999991,4775.852859999999
61,2024-01-17,42776.1,33266.21388,27,60.0,3,-0.0084235847254326,997.3099999999976,1043.75,-11779.532009999995
62,2024-01-18,41327.5,43907.51641,27,63.0,3,-0.0344513974581589,2246.720000000001,-1183.5999999999983,10641.302529999994
63,2024-01-19,41659.03,48342.74559,26,51.0,3,0.0079900138913296,1916.8600000000008,-1478.9199999999985,4435.229180000002
64,2024-01-20,41696.04,15923.99493,21,52.0,3,0.0008880084302503,416.2599999999948,-1080.0599999999977,-32418.75066
65,2024-01-21,41580.33,11730.16301,18,56.0,3,-0.0027789413603004,380.4099999999962,252.83000000000172,-4193.8319200000005
66,2024-01-22,39568.02,55426.19911,26,55.0,3,-0.0496060026684201,2258.07,-2091.010000000002,43696.0361
67,2024-01-23,39897.6,57956.63351,28,50.0,3,0.0082949554728822,1621.739999999998,-1798.4400000000023,2530.4343999999983
68,2024-01-24,40084.88,39293.82861,25,48.0,3,0.0046830341411442,1070.8099999999977,-1495.4500000000044,-18662.804900000003
